chlor,geometry,coordinates
-0.2143854750531759,"POLYGON ((-73.58325071044031 -39.95481804942602, -73.58325071044031 -39.91888543806124, -73.54282652265493 -39.91888543806124, -73.54282652265493 -39.95481804942602, -73.58325071044031 -39.95481804942602))",[<shapely.coords.CoordinateSequence object at 0x7f989167b280>]
0.06744284277638074,"POLYGON ((-73.53833494623433 -39.95481804942602, -73.53833494623433 -39.91888543806124, -73.50240233486956 -39.91888543806124, -73.50240233486956 -39.95481804942602, -73.53833494623433 -39.95481804942602))",[<shapely.coords.CoordinateSequence object at 0x7f98916beeb0>]
-0.2819968317329825,"POLYGON ((-73.99647574113528 -39.91439386164064, -73.99647574113528 -39.900919132378846, -73.96054312977051 -39.900919132378846, -73.96054312977051 -39.91439386164064, -73.99647574113528 -39.91439386164064))",[<shapely.coords.CoordinateSequence object at 0x7f98c0d1ee80>]
-0.17678668671733241,"POLYGON ((-73.95605155334991 -39.91439386164064, -73.95605155334991 -39.900919132378846, -73.87520317777916 -39.900919132378846, -73.87520317777916 -39.91439386164064, -73.95605155334991 -39.91439386164064))",[<shapely.coords.CoordinateSequence object at 0x7f98c0d1e670>]
-0.2833290244398644,"POLYGON ((-73.87071160135855 -39.91439386164064, -73.87071160135855 -39.900919132378846, -73.83477898999378 -39.900919132378846, -73.83477898999378 -39.91439386164064, -73.87071160135855 -39.91439386164064))",[<shapely.coords.CoordinateSequence object at 0x7f98a1431040>]
-0.38933983691012003,"POLYGON ((-73.83028741357317 -39.91439386164064, -73.83028741357317 -39.900919132378846, -73.79435480220839 -39.900919132378846, -73.79435480220839 -39.91439386164064, -73.83028741357317 -39.91439386164064))",[<shapely.coords.CoordinateSequence object at 0x7f98a1431070>]
-0.4736607226101559,"POLYGON ((-73.7898632257878 -39.91439386164064, -73.7898632257878 -39.900919132378846, -73.70901485021705 -39.900919132378846, -73.70901485021705 -39.91439386164064, -73.7898632257878 -39.91439386164064))",[<shapely.coords.CoordinateSequence object at 0x7f98a1431550>]
-0.3701828039814842,"POLYGON ((-73.70452327379644 -39.91439386164064, -73.70452327379644 -39.900919132378846, -73.66859066243167 -39.900919132378846, -73.66859066243167 -39.91439386164064, -73.70452327379644 -39.91439386164064))",[<shapely.coords.CoordinateSequence object at 0x7f98a1431250>]
-0.4574235237394704,"POLYGON ((-73.66409908601106 -39.91439386164064, -73.66409908601106 -39.900919132378846, -73.62816647464628 -39.900919132378846, -73.62816647464628 -39.91439386164064, -73.66409908601106 -39.91439386164064))",[<shapely.coords.CoordinateSequence object at 0x7f98a1431b20>]
-0.341035157335565,"POLYGON ((-73.62367489822569 -39.91439386164064, -73.62367489822569 -39.900919132378846, -73.54282652265493 -39.900919132378846, -73.54282652265493 -39.91439386164064, -73.62367489822569 -39.91439386164064))",[<shapely.coords.CoordinateSequence object at 0x7f98a1431310>]
-0.05394093961487627,"POLYGON ((-73.53833494623433 -39.91439386164064, -73.53833494623433 -39.900919132378846, -73.50240233486956 -39.900919132378846, -73.50240233486956 -39.91439386164064, -73.53833494623433 -39.91439386164064))",[<shapely.coords.CoordinateSequence object at 0x7f98a1431580>]
